town,population,registered_voters,dem,rep,other,black,hispanic,pres_2024_d_pct
Andover,3151,2478,707,727,1044,43,121,49.3
Ansonia,18918,12051,3933,2225,5893,2746,4493,49.4
Ashford,4191,3256,1002,791,1463,57,186,51.5
Avon,18932,15423,5035,3845,6543,412,916,60.4
Barkhamsted,3647,3087,746,978,1363,14,84,46.8
Beacon Falls,6000,4895,1171,1411,2313,143,413,40.8
Berlin,20175,16301,4870,4509,6922,273,1115,44.6
Bethany,5297,4357,1296,1180,1881,106,182,50.3
Bethel,20358,14521,4381,3511,6629,627,2622,53.8
Bethlehem,3385,3081,699,1087,1295,31,104,38.3
Bloomfield,21535,17377,10189,1418,5770,11712,1697,83.8
Bolton,4858,4027,1172,1065,1790,97,277,52.0
Bozrah,2429,2111,592,520,999,38,105,42.9
Branford,28273,23463,7852,4519,11092,689,1862,56.8
Bridgeport,148654,82917,49457,6005,27455,52138,62853,72.7
Bridgewater,1662,1510,491,431,588,14,41,51.7
Bristol,60833,39664,12903,9075,17686,3579,9935,49.2
Brookfield,17528,14260,3584,4288,6388,330,1470,47.2
Brooklyn,8450,5923,1377,1587,2959,210,537,42.9
Burlington,9519,7618,1947,2239,3432,73,378,48.0
Canaan,1080,799,344,143,312,15,56,68.8
Canterbury,5045,4096,811,1376,1909,64,210,36.7
Canton,10124,8569,2723,2266,3580,148,413,57.7
Chaplin,2151,1696,453,512,731,26,121,42.8
Cheshire,28733,22123,6446,5260,10417,1264,1818,54.5
Chester,3749,3157,1243,602,1312,28,135,64.6
Clinton,13185,11087,3210,2850,5027,159,1232,54.0
Colchester,15555,12552,3645,3122,5785,261,753,52.6
Colebrook,1361,1172,307,359,506,6,31,41.8
Columbia,5272,4368,1297,1175,1896,52,212,50.7
Cornwall,1567,1256,614,202,440,8,61,70.8
Coventry,12235,9966,2742,2518,4706,96,512,50.0
Cromwell,14225,11683,3627,2689,5367,658,1003,53.6
Danbury,86518,47687,15492,9897,22298,6272,28690,53.1
Darien,21499,16261,4116,5391,6754,163,1234,58.6
Deep River,4415,3764,1296,776,1692,54,196,60.3
Derby,12325,7377,2458,1484,3435,1497,2544,48.0
Durham,7152,5906,1472,1810,2624,64,262,47.1
East Granby,5214,4220,1171,1049,2000,153,280,52.3
East Haddam,8875,7572,2118,1948,3506,69,332,50.2
East Hampton,12717,10352,2908,2594,4850,170,509,49.5
East Hartford,51045,33609,14807,3572,15230,15130,17114,68.4
East Haven,27923,18725,5878,4110,8737,1432,5054,43.7
East Lyme,18693,15389,5011,3361,7017,460,988,61.7
East Windsor,11190,9522,2698,2097,4727,735,1010,50.8
Eastford,1649,1291,285,465,541,8,61,41.7
Easton,7605,6181,1834,1670,2677,108,444,53.9
Ellington,16426,12346,2969,3356,6021,387,685,49.6
Enfield,42141,29477,8866,6869,13742,2842,4185,50.7
Essex,6733,5911,2168,1409,2334,55,273,63.9
Fairfield,61512,46652,15828,10655,20169,1182,4806,61.7
Farmington,26712,22088,7291,4851,9946,876,1527,58.7
Franklin,1863,1552,379,480,693,23,89,44.6
Glastonbury,35159,27654,9339,6145,12170,902,2194,61.3
Goshen,3150,2559,659,997,903,18,120,43.4
Granby,10903,9359,2741,2690,3928,116,424,55.8
Greenwich,63518,46754,13883,13138,19733,1247,8135,57.3
Griswold,11402,8942,2294,2464,4184,254,599,39.9
Groton,38411,25076,8280,4940,11856,2422,4659,60.8
Guilford,22073,18032,6793,3720,7519,217,1135,64.4
Haddam,8452,6933,1828,1964,3141,70,275,47.0
Hamden,61169,40092,21073,4508,14511,15407,7836,72.9
Hampton,1728,1450,408,378,664,6,58,48.4
Hartford,121054,65442,38590,3423,23429,46231,53315,81.8
Hartland,1901,1619,312,653,654,14,35,32.9
Harwinton,5484,4740,1002,1665,2073,37,172,37.6
Hebron,9098,7886,2232,1996,3658,63,324,52.9
Kent,3019,2374,1064,462,848,34,156,66.5
Killingly,17752,13017,2838,3253,6926,254,837,39.4
Killingworth,6174,5386,1446,1542,2398,24,202,51.5
Lebanon,7142,5565,1389,1657,2519,53,331,45.0
Ledyard,15413,10912,2952,2776,5184,491,1134,53.4
Lisbon,4195,3115,822,858,1435,36,168,43.3
Litchfield,8192,6719,2047,2058,2614,51,276,50.3
Lyme,2352,1973,747,455,771,10,56,65.3
Madison,17691,15338,5010,3788,6540,134,641,61.4
Manchester,59713,39261,15731,6078,17452,9592,10325,64.9
Mansfield,25892,11971,5148,1426,5397,1342,2206,73.3
Marlborough,6133,5100,1507,1385,2208,69,299,52.9
Meriden,60850,36995,12296,5916,18783,6445,22295,56.0
Middlebury,7574,6869,1630,2527,2712,75,332,43.2
Middlefield,4217,3674,1039,838,1797,51,201,49.8
Middletown,47717,34143,14699,5310,14134,6739,5637,63.5
Milford,52044,42562,12734,9579,20249,1653,4111,47.3
Monroe,18825,14610,3427,3935,7248,425,1470,46.5
Montville,18387,12427,3292,2875,6260,1120,1648,48.7
Morris,2256,1881,414,722,745,13,67,40.5
Naugatuck,31519,20700,6059,5107,9534,2449,4871,44.4
New Britain,74135,40364,16712,5105,18547,11004,32620,60.8
New Canaan,20622,16266,4308,5686,6272,260,1121,55.8
New Fairfield,13579,11030,2596,3329,5105,183,1201,44.3
New Hartford,6658,5515,1411,1737,2367,22,177,46.0
New Haven,134023,71747,44194,3912,23641,43160,41068,80.4
New London,27367,18800,8501,1856,8443,4746,9326,70.6
New Milford,28115,19747,5318,5585,8844,684,3241,47.1
Newington,30536,23075,8317,4562,10196,1509,3585,55.0
Newtown,27173,20996,6311,5687,8998,610,1757,53.9
Norfolk,1588,1245,512,236,497,8,48,62.6
North Branford,13544,10525,2350,2906,5269,157,670,40.7
North Canaan,3211,2483,635,801,1047,36,266,47.5
North Haven,24253,19499,5092,5058,9349,946,1490,45.5
North Stonington,5149,4609,1110,1271,2228,40,180,47.5
Norwalk,91184,65252,25364,10850,29038,11659,27629,63.6
Norwich,40125,23245,7865,3935,11445,5036,7727,57.8
Old Lyme,7628,6591,2070,1739,2782,46,314,58.3
Old Saybrook,10481,9732,2920,2662,4150,93,539,58.1
Orange,14280,11303,3029,2839,5435,284,715,49.4
Oxford,12706,10622,1989,3697,4936,141,681,38.7
Plainfield,14973,11135,2768,2877,5490,244,825,38.0
Plainville,17525,13399,3859,3194,6346,561,1898,46.7
Plymouth,11671,9660,1969,2788,4903,157,739,36.4
Pomfret,4266,3259,995,803,1461,57,179,53.5
Portland,9384,7366,2312,1827,3227,208,581,52.3
Preston,4788,3716,885,1068,1763,59,204,42.4
Prospect,9401,7501,1442,2631,3428,212,426,34.2
Putnam,9224,6973,1773,1573,3627,169,548,44.9
Redding,8765,7479,2867,1727,2885,78,465,63.7
Ridgefield,25033,21536,7432,5541,8563,232,1506,62.7
Rocky Hill,20845,14468,4834,3124,6510,786,1340,52.6
Roxbury,2260,1866,644,504,718,11,70,56.2
Salem,4213,3369,910,930,1529,64,227,47.5
Salisbury,4194,3374,1686,459,1229,80,197,77.2
Scotland,1576,1242,287,364,591,6,60,40.0
Seymour,16748,12438,2766,3369,6303,737,1752,40.3
Sharon,2680,1998,860,414,724,35,98,67.8
Shelton,40869,31824,7567,9276,14981,1966,4080,43.6
Sherman,3527,2894,859,761,1274,32,159,53.7
Simsbury,24517,21273,7407,4896,8970,546,1335,63.9
Somers,10255,7184,1448,2310,3426,612,591,40.5
South Windsor,26918,18908,6468,3857,8583,1188,1578,58.4
Southbury,19879,17168,4535,5386,7247,208,830,49.6
Southington,43501,34078,8899,9316,15863,660,2417,46.5
Sprague,2967,2190,625,547,1018,76,152,41.1
Stafford,11472,8404,2259,2217,3928,103,500,41.6
Stamford,135470,83115,35187,15239,32689,17032,37958,62.5
Sterling,3578,3009,459,855,1695,37,120,29.1
Stonington,18335,16240,5588,3207,7445,211,625,62.6
Stratford,52355,37388,13809,6879,16700,9716,11107,58.5
Suffield,15752,11196,2777,3148,5271,1144,1113,48.2
Thomaston,7442,5790,1110,1985,2695,69,340,32.5
Thompson,9189,7396,1592,2060,3744,77,299,36.5
Tolland,14563,11871,3170,2963,5738,231,643,52.7
Torrington,35515,24089,6553,6582,10954,1250,5433,42.2
Trumbull,36827,29033,8534,6824,13675,1728,3505,51.6
Union,785,670,156,234,280,2,23,41.8
Vernon,30215,20969,6712,4167,10090,2339,3345,58.1
Voluntown,2570,1946,420,657,869,11,73,37.3
Wallingford,44396,31578,8628,6972,15978,904,4770,50.5
Warren,1351,1197,362,372,463,1,56,50.7
Washington,3646,2902,1120,657,1125,26,219,65.4
Waterbury,114403,61979,24166,9009,28804,25038,45281,54.8
Waterford,19571,15805,4889,3503,7413,569,1562,54.4
Watertown,22105,16298,3498,5335,7465,455,1390,34.2
West Hartford,64083,47862,23322,6464,18076,4343,7236,74.0
West Haven,55584,31985,15777,4513,11695,12173,13177,60.0
Westbrook,6769,5481,1459,1540,2482,123,551,51.5
Weston,10354,8415,3385,1565,3465,150,631,69.2
Westport,27141,22390,9373,3981,9036,405,1592,71.4
Wethersfield,27298,20444,7737,3983,8724,1030,3403,56.6
Willington,5566,4010,1143,1041,1826,83,260,46.8
Wilton,18503,14351,4798,3456,6097,213,916,64.4
Winchester,10224,7397,1818,2054,3525,148,684,42.7
Windham,24425,13537,4830,2084,6623,1136,10199,58.8
Windsor,29492,24087,11570,3039,9478,10694,3470,73.2
Windsor Locks,12613,9551,2824,1962,4765,872,1118,50.9
Wolcott,16142,11973,2532,3862,5579,437,1087,33.0
Woodbridge,9087,7052,2833,1200,3019,279,547,64.8
Woodbury,9723,8583,2280,2775,3528,125,454,47.9
Woodstock,8221,6806,1714,2041,3051,52,219,47.4
